Index,Package,,Own function,,Index,Package,,Own function,
1,-11,-39,-39,-11,51,-148,-183,-183,-148
2,-17,-22,-22,-17,52,-178,8,-178,8
3,-18,-28,-28,-18,53,-1,-2,-2,-1
4,-29,3,-29,3,54,-161,-162,-162,-161
5,-35,-37,-37,-35,55,-33,42,42,-33
6,-156,-180,-180,-156,56,-50,-65,-65,-50
7,-157,-159,-159,-157,57,38,49,38,49
8,-160,-182,-182,-160,58,-139,-153,-153,-139
9,-99,-108,-108,-99,59,-165,-169,-169,-165
10,-19,-20,-20,-19,60,-83,-88,-88,-83
11,-8,-15,-15,-8,61,-12,-40,-40,-12
12,-23,1,-23,1,62,-192,-193,-193,-192
13,-41,4,-41,4,63,26,30,26,30
14,-97,-106,-106,-97,64,-52,-59,-59,-52
15,-92,-101,-101,-92,65,-125,-132,-132,-125
16,-189,-195,-195,-189,66,-27,28,28,-27
17,-174,-175,-175,-174,67,31,32,32,31
18,-45,-91,-91,-45,68,14,27,14,27
19,-25,11,-25,11,69,-24,15,15,-24
20,-14,-34,-34,-14,70,-147,-152,-152,-147
21,-127,-129,-129,-127,71,24,66,66,24
22,-94,-102,-102,-94,72,-84,-121,-121,-84
23,-96,-105,-105,-96,73,-7,53,-7,53
24,-26,-31,-31,-26,74,-120,46,46,-120
25,-124,-126,-126,-124,75,-170,-173,-173,-170
26,-36,10,-36,10,76,-140,-141,-141,-140
27,-38,-95,-95,-38,77,-49,-185,-185,-49
28,-30,-46,-46,-30,78,-112,-116,-116,-112
29,-93,-109,-109,-93,79,-166,-171,-171,-166
30,-107,20,-107,20,80,55,57,55,57
31,-9,-44,-44,-9,81,-53,-69,-69,-53
32,-16,-32,-32,-16,82,-3,-6,-6,-3
33,-82,-86,-86,-82,83,29,69,29,69
34,-85,25,25,-85,84,-87,33,-87,33
35,-64,-68,-68,-64,85,-48,68,-48,68
36,-79,-80,-80,-79,86,-138,47,-138,47
37,-164,-172,-172,-164,87,-78,-191,-191,-78
38,-21,9,9,-21,88,-167,44,44,-167
39,-104,-110,-110,-104,89,-43,39,39,-43
40,-13,2,2,-13,90,34,60,34,60
41,12,13,13,12,91,-135,86,-135,86
42,-98,5,-98,5,92,37,41,37,41
43,-103,23,-103,23,93,-66,56,-66,56
44,-177,-179,-179,-177,94,-163,17,17,-163
45,-55,-89,-89,-55,95,-136,-146,-146,-136
46,-128,21,-128,21,96,-77,-143,-143,-77
47,-119,-122,-122,-119,97,-51,-73,-73,-51
48,-181,6,-181,6,98,-190,16,-190,16
49,18,19,18,19,99,-56,-70,-70,-56
50,-47,22,22,-47,100,-130,-131,-131,-130
